,"Amplicon 73
[21889-22247]

AY.4.2

21995C,22227T","Amplicon 72
[21561-21904]

BA.1

21762T,Δ21765-21770,21846T","Amplicon 73
[21889-22247]

BA.1

Δ21987-21995,Δ22194-22196","Amplicon 75
[22428-22785]

BA.1

22578A,22673→CTC,22679C,22686T","Amplicon 76
[22677-23028]

BA.1

22679C,22686T,22813T,22882G,22898A,22992A,22995A,23013C","Amplicon 77
[22974-23327]

BA.1

22992A,22995A,23013C,23040G,23048A,23055G,23063T,23075C,23202A","Amplicon 80
[23876-24233]

BA.1

23948T,24130A","Amplicon 81
[24194-24545]

BA.1

24424T,24469A,24503T","Amplicon 78
[23246-23611]

BA.1,BA.2

23403G,23525T,23599G,23604A","Amplicon 79
[23575-23927]

BA.1,BA.2

23599G,23604A,23854A","Amplicon 94
[28021-28394]

BA.1,BA.2

28311T,Δ28362-28370","Amplicon 95
[28214-28572]

BA.1,BA.2

28311T,Δ28362-28370","Amplicon 14
[4018-4387]

BA.2

4184A,4321T","Amplicon 31
[9192-9535]

BA.2

9344T,9424G,9534T","Amplicon 33
[9805-10150]

BA.2

9866T,10029T","Amplicon 34
[10099-10465]

BA.2

10198T,10447A,10449A","Amplicon 35
[10419-10785]

BA.2

10447A,10449A","Amplicon 43
[12856-13218]

BA.2

12880T,13195C","Amplicon 66
[19836-20186]

BA.2

19955T,20055G","Amplicon 71
[21316-21675]

BA.2

21618T,Δ21633-21641","Amplicon 72
[21561-21904]

BA.2

21618T,Δ21633-21641","Amplicon 73
[21889-22247]

BA.2

Δ21987-21995,22200G","Amplicon 75
[22428-22785]

BA.2

22578A,22674T,22679C,22686T,22688G,22775A","Amplicon 76
[22677-23028]

BA.2

22679C,22686T,22688G,22775A,22786T,22813T,22882G,22992A,22995A,23013C","Amplicon 77
[22974-23327]

BA.2

22992A,22995A,23013C,23040G,23055G,23063T,23075C","Amplicon 81
[24194-24545]

BA.2

24424T,24469A","Amplicon 87
[25979-26338]

BA.2

26060T,26270T","Amplicon 89
[26587-26956]

BA.2

26709A,26858T","Amplicon 91
[27177-27534]

BA.2

27259C,27382→CTC","Amplicon 77
[22974-23327]

B.1.1.7 (alpha)

23063T,23271A","Amplicon 78
[23246-23611]

B.1.1.7 (alpha)

23271A,23604A","Amplicon 79
[23575-23927]

B.1.1.7 (alpha)

23604A,23709T","Amplicon 93
[27726-28082]

B.1.1.7 (alpha)

27972T,28048T","Amplicon 94
[28021-28394]

B.1.1.7 (alpha)

28048T,28111G,28280→CTA","Amplicon 29
[8619-8990]

B.1.351 (beta)

8660T,8964T","Amplicon 72
[21561-21904]

B.1.351 (beta)

21614T,21801C","Amplicon 74
[22113-22474]

B.1.351 (beta)

22206G,22299T","Amplicon 76
[22677-23028]

B.1.351 (beta)

22813T,23012A","Amplicon 72
[21561-21904]

C.36.3

21597T,Δ21765-21770","Amplicon 78
[23246-23611]

B.1

23403G","Amplicon 76
[22677-23028]

AY.4.2,B.1.617.2 (delta)

22917G,22995A","Amplicon 92
[27473-27826]

AY.4.2,B.1.617.2 (delta)

27638C,27752T","Amplicon 77
[22974-23327]

B.1.351 (beta),P.1 (gamma)

23012A,23063T","Amplicon 71
[21316-21675]

P.1 (gamma)

21614T,21621A,21638T","Amplicon 72
[21561-21904]

P.1 (gamma)

21614T,21621A,21638T","Amplicon 73
[21889-22247]

P.1 (gamma)

21974T,22132T","Amplicon 76
[22677-23028]

P.1 (gamma)

22812C,23012A","Amplicon 96
[28536-28893]

P.1 (gamma)

28877T,28878C","Amplicon 97
[28849-29206]

P.1 (gamma)

28877T,28878C","Amplicon 76
[22677-23028]

B.1.617.3,B.1.617.1 (kappa)

22917G,23012C","Amplicon 93
[27726-28082]

B.1.621

27925A,28005T","Amplicon 82
[24448-24814]

BA.1,BA.1

24469A,24503T","Amplicon 88
[26277-26635]

BA.1,BA.1

26530G,26577G","Amplicon 76
[22677-23028]

BA.1

22679C,22898A","Amplicon 77
[22974-23327]

BA.1

23048A,23202A","Amplicon 81
[24194-24545]

BA.1

24469A,24503T","Amplicon 31
[9192-9535]

BA.2

9424G,9534T","Amplicon 34
[10099-10465]

BA.2

10198T,10447A","Amplicon 75
[22428-22785]

BA.2

22679C,22688G,22775A","Amplicon 76
[22677-23028]

BA.2

22679C,22688G,22775A,22786C"
SRR20333153.fastq.bam,"6 / 3758
0.16%","0 / 564
0.00%","0 / 3757
0.00%","0 / 504
0.00%","1 / 2661
0.04%","0 / 15940
0.00%","2 / 6226
0.03%","3 / 2656
0.11%","7174 / 7194
99.72%","1924 / 4148
46.38%","268 / 269
99.63%","6628 / 6748
98.22%","0 / 353
0.00%","0 / 52
0.00%","382 / 2559
14.93%","0 / 5
0.00%","437 / 441
99.09%","0 / 0
NA","5665 / 5673
99.86%","0 / 0
NA","1 / 3
33.33%","0 / 3757
0.00%","500 / 504
99.21%","0 / 1
0.00%","2439 / 18693
13.05%","2650 / 2656
99.77%","0 / 116
0.00%","0 / 1
0.00%","0 / 481
0.00%","18679 / 18729
99.73%","3 / 4130
0.07%","0 / 1
0.00%","0 / 2
0.00%","0 / 503
0.00%","0 / 302
0.00%","0 / 2
0.00%","0 / 2198
0.00%","1633 / 1645
99.27%","465 / 566
82.16%","11330 / 11346
99.86%","2036 / 2661
76.51%","0 / 208
0.00%","122 / 18698
0.65%","0 / 0
NA","0 / 3
0.00%","0 / 1406
0.00%","0 / 1645
0.00%","0 / 1
0.00%","0 / 6931
0.00%","3111 / 4359
71.37%","0 / 3174
0.00%","0 / 0
NA","0 / 2369
0.00%","3 / 4362
0.07%","0 / 15959
0.00%","3 / 2656
0.11%","0 / 52
0.00%","0 / 5
0.00%","509 / 510
99.80%","1 / 1
100.00%"
SRR20333155.fastq.bam,"9 / 9026
0.10%","0 / 1174
0.00%","0 / 9025
0.00%","1 / 863
0.12%","0 / 5
0.00%","0 / 27521
0.00%","0 / 7857
0.00%","0 / 3272
0.00%","9765 / 9793
99.71%","763 / 1901
40.14%","288 / 288
100.00%","6564 / 6714
97.77%","0 / 230
0.00%","0 / 39
0.00%","1354 / 2209
61.29%","0 / 34
0.00%","4 / 4
100.00%","0 / 0
NA","9390 / 9414
99.75%","1 / 1
100.00%","1 / 27
3.70%","3 / 9025
0.03%","854 / 863
98.96%","6 / 1839
0.33%","15737 / 31875
49.37%","3264 / 3272
99.76%","0 / 145
0.00%","1287 / 1698
75.80%","0 / 439
0.00%","31833 / 31917
99.74%","2 / 5945
0.03%","0 / 1
0.00%","0 / 8
0.00%","0 / 489
0.00%","0 / 663
0.00%","0 / 27
0.00%","0 / 3418
0.00%","1834 / 1855
98.87%","489 / 1176
41.58%","15761 / 15776
99.90%","1662 / 4192
39.65%","0 / 145
0.00%","18 / 31889
0.06%","0 / 1
0.00%","0 / 27
0.00%","0 / 3468
0.00%","0 / 1855
0.00%","0 / 1
0.00%","0 / 6445
0.00%","0 / 5
0.00%","0 / 3064
0.00%","0 / 0
NA","0 / 3494
0.00%","0 / 6144
0.00%","0 / 27549
0.00%","0 / 3272
0.00%","0 / 39
0.00%","0 / 34
0.00%","867 / 869
99.77%","791 / 1849
42.78%"
SRR20333157.fastq.bam,"4 / 3584
0.11%","0 / 477
0.00%","0 / 3585
0.00%","0 / 229
0.00%","0 / 1551
0.00%","0 / 20093
0.00%","0 / 4395
0.00%","2 / 2847
0.07%","8388 / 8411
99.73%","733 / 1631
44.94%","273 / 273
100.00%","4758 / 4844
98.22%","0 / 104
0.00%","0 / 16
0.00%","296 / 1783
16.60%","0 / 224
0.00%","3 / 3
100.00%","0 / 0
NA","8454 / 8472
99.79%","0 / 0
NA","0 / 0
NA","2 / 3585
0.06%","228 / 229
99.56%","1 / 562
0.18%","9262 / 21739
42.61%","2829 / 2848
99.33%","0 / 32
0.00%","411 / 610
67.38%","0 / 416
0.00%","21710 / 21775
99.70%","1 / 3005
0.03%","0 / 1
0.00%","0 / 1
0.00%","0 / 187
0.00%","0 / 604
0.00%","0 / 477
0.00%","0 / 729
0.00%","562 / 563
99.82%","328 / 477
68.76%","11435 / 11447
99.90%","495 / 1551
31.91%","0 / 84
0.00%","16 / 21742
0.07%","0 / 0
NA","0 / 0
NA","0 / 1349
0.00%","0 / 563
0.00%","0 / 4
0.00%","0 / 5831
0.00%","653 / 2156
30.29%","0 / 1383
0.00%","0 / 0
NA","0 / 310
0.00%","0 / 2154
0.00%","0 / 20111
0.00%","2 / 2847
0.07%","0 / 16
0.00%","0 / 224
0.00%","229 / 229
100.00%","196 / 563
34.81%"
SRR20333159.fastq.bam,"5 / 3917
0.13%","0 / 604
0.00%","0 / 3919
0.00%","1 / 399
0.25%","0 / 2
0.00%","0 / 16655
0.00%","0 / 3272
0.00%","0 / 2514
0.00%","7643 / 7664
99.73%","928 / 2614
35.50%","191 / 191
100.00%","6137 / 6234
98.44%","0 / 408
0.00%","0 / 26
0.00%","355 / 1388
25.58%","0 / 41
0.00%","3 / 3
100.00%","0 / 1
0.00%","10358 / 10380
99.79%","1 / 1
100.00%","0 / 13
0.00%","2 / 3919
0.05%","394 / 399
98.75%","4 / 1066
0.38%","2165 / 18739
11.55%","2499 / 2515
99.36%","0 / 101
0.00%","632 / 1050
60.19%","0 / 390
0.00%","18724 / 18779
99.71%","0 / 4320
0.00%","2 / 2611
0.08%","0 / 1
0.00%","0 / 1
0.00%","0 / 545
0.00%","0 / 12
0.00%","0 / 1307
0.00%","1065 / 1071
99.44%","524 / 605
86.61%","11999 / 12013
99.88%","1750 / 2008
87.15%","0 / 119
0.00%","8 / 18747
0.04%","0 / 1
0.00%","0 / 13
0.00%","0 / 1483
0.00%","0 / 1071
0.00%","0 / 1
0.00%","248 / 7619
3.26%","0 / 2
0.00%","0 / 3059
0.00%","0 / 0
NA","0 / 1305
0.00%","1 / 3115
0.03%","0 / 16674
0.00%","0 / 2514
0.00%","0 / 26
0.00%","0 / 41
0.00%","402 / 402
100.00%","436 / 1067
40.86%"
SRR20997577.fastq.bam,"16 / 4429
0.36%","0 / 47
0.00%","0 / 4423
0.00%","0 / 0
NA","2 / 2095
0.10%","0 / 2269
0.00%","2 / 4741
0.04%","0 / 2260
0.00%","12063 / 12325
97.87%","6 / 56
10.71%","357 / 363
98.35%","7207 / 7634
94.41%","0 / 279
0.00%","0 / 2
0.00%","24 / 2125
1.13%","0 / 34
0.00%","234 / 245
95.51%","0 / 0
NA","12172 / 12767
95.34%","0 / 0
NA","14 / 14
100.00%","0 / 4423
0.00%","0 / 0
NA","0 / 4
0.00%","74 / 2269
3.26%","2252 / 2260
99.65%","0 / 95
0.00%","892 / 1608
55.47%","0 / 319
0.00%","2266 / 2289
99.00%","19 / 4445
0.43%","0 / 6
0.00%","0 / 19
0.00%","0 / 356
0.00%","2 / 571
0.35%","0 / 61
0.00%","0 / 2494
0.00%","1113 / 1129
98.58%","47 / 57
82.46%","16681 / 16935
98.50%","2026 / 2119
95.61%","0 / 114
0.00%","1 / 2270
0.04%","0 / 0
NA","0 / 14
0.00%","0 / 1615
0.00%","4 / 1129
0.35%","0 / 2
0.00%","0 / 5428
0.00%","2899 / 3385
85.64%","0 / 18
0.00%","0 / 0
NA","0 / 2762
0.00%","7 / 3369
0.21%","3 / 2295
0.13%","0 / 2260
0.00%","0 / 2
0.00%","11 / 45
24.44%","0 / 0
NA","4 / 4
100.00%"
SRR20997578.fastq.bam,"16 / 13987
0.11%","0 / 117
0.00%","0 / 13985
0.00%","0 / 0
NA","0 / 1
0.00%","0 / 3613
0.00%","4 / 11489
0.03%","1 / 3979
0.03%","18114 / 18287
99.05%","1 / 1
100.00%","367 / 370
99.19%","9973 / 10409
95.81%","0 / 644
0.00%","0 / 116
0.00%","340 / 4859
7.00%","0 / 149
0.00%","45 / 45
100.00%","0 / 1
0.00%","16275 / 16302
99.83%","0 / 0
NA","10 / 10
100.00%","0 / 13985
0.00%","0 / 0
NA","0 / 1
0.00%","444 / 3613
12.29%","3965 / 3979
99.65%","1 / 193
0.52%","1519 / 2590
58.65%","0 / 1207
0.00%","3578 / 3654
97.92%","15 / 7834
0.19%","0 / 3
0.00%","0 / 64
0.00%","0 / 674
0.00%","20 / 880
2.27%","0 / 130
0.00%","0 / 4641
0.00%","2627 / 2658
98.83%","115 / 127
90.55%","26083 / 26234
99.42%","3168 / 3541
89.47%","0 / 312
0.00%","2 / 3615
0.06%","0 / 0
NA","0 / 10
0.00%","0 / 5248
0.00%","2 / 2658
0.08%","0 / 3
0.00%","240 / 11516
2.08%","0 / 1
0.00%","0 / 62
0.00%","0 / 0
NA","0 / 5337
0.00%","5 / 6250
0.08%","3 / 3672
0.08%","1 / 3979
0.03%","0 / 117
0.00%","9 / 158
5.70%","0 / 0
NA","1 / 1
100.00%"
SRR20997579.fastq.bam,"17 / 7228
0.24%","0 / 76
0.00%","0 / 7224
0.00%","0 / 0
NA","0 / 1
0.00%","1 / 1693
0.06%","4 / 9049
0.04%","2 / 4856
0.04%","6793 / 6864
98.97%","0 / 53
0.00%","344 / 352
97.73%","13084 / 13397
97.66%","0 / 386
0.00%","0 / 139
0.00%","245 / 6039
4.06%","0 / 12
0.00%","29 / 30
96.67%","1 / 1
100.00%","15538 / 15573
99.78%","0 / 0
NA","2 / 2
100.00%","0 / 7224
0.00%","0 / 0
NA","2 / 2623
0.08%","525 / 1693
31.01%","4836 / 4856
99.59%","0 / 89
0.00%","1330 / 2325
57.20%","0 / 768
0.00%","1690 / 1713
98.66%","16 / 8309
0.19%","0 / 62
0.00%","0 / 55
0.00%","0 / 544
0.00%","2 / 641
0.31%","0 / 78
0.00%","0 / 2428
0.00%","2628 / 2646
99.32%","67 / 78
85.90%","15190 / 15247
99.63%","1130 / 1657
68.20%","0 / 239
0.00%","0 / 1694
0.00%","0 / 0
NA","0 / 2
0.00%","0 / 2842
0.00%","3 / 2646
0.11%","0 / 1
0.00%","0 / 12825
0.00%","0 / 1
0.00%","0 / 51
0.00%","0 / 0
NA","0 / 2827
0.00%","3 / 4325
0.07%","1 / 1734
0.06%","2 / 4856
0.04%","0 / 139
0.00%","2 / 14
14.29%","0 / 0
NA","1092 / 2640
41.36%"
SRR20997580.fastq.bam,"13 / 9854
0.13%","0 / 57
0.00%","0 / 9853
0.00%","0 / 1
0.00%","0 / 1
0.00%","0 / 1581
0.00%","1 / 5390
0.02%","0 / 4604
0.00%","20065 / 20194
99.36%","0 / 173
0.00%","542 / 547
99.09%","8269 / 8500
97.28%","0 / 613
0.00%","0 / 38
0.00%","4 / 2148
0.19%","0 / 5
0.00%","9 / 9
100.00%","0 / 3
0.00%","16627 / 16661
99.80%","0 / 0
NA","0 / 0
NA","0 / 9853
0.00%","1 / 1
100.00%","1 / 1987
0.05%","4 / 1581
0.25%","4584 / 4604
99.57%","0 / 139
0.00%","1097 / 2005
54.71%","0 / 957
0.00%","1582 / 1601
98.81%","3 / 3851
0.08%","0 / 175
0.00%","0 / 1
0.00%","0 / 1
0.00%","2 / 784
0.26%","0 / 57
0.00%","0 / 4757
0.00%","1989 / 2007
99.10%","57 / 57
100.00%","23969 / 24065
99.60%","1555 / 1559
99.74%","0 / 327
0.00%","0 / 1583
0.00%","0 / 0
NA","0 / 0
NA","0 / 3686
0.00%","1 / 2007
0.05%","0 / 1
0.00%","0 / 14313
0.00%","0 / 1
0.00%","0 / 21
0.00%","0 / 0
NA","0 / 2477
0.00%","2 / 3576
0.06%","2 / 1611
0.12%","0 / 4604
0.00%","0 / 38
0.00%","0 / 5
0.00%","1 / 1
100.00%","756 / 2001
37.78%"
SRR20997581.fastq.bam,"4 / 3775
0.11%","0 / 2
0.00%","0 / 3775
0.00%","0 / 2
0.00%","0 / 1
0.00%","0 / 2224
0.00%","5 / 6423
0.08%","0 / 3013
0.00%","8851 / 8916
99.27%","1 / 58
1.72%","311 / 313
99.36%","8428 / 8629
97.67%","0 / 152
0.00%","0 / 67
0.00%","460 / 3925
11.72%","0 / 9
0.00%","18 / 18
100.00%","0 / 1
0.00%","17213 / 17252
99.77%","0 / 0
NA","2 / 2
100.00%","0 / 3775
0.00%","2 / 2
100.00%","0 / 1
0.00%","993 / 2224
44.65%","2997 / 3013
99.47%","0 / 29
0.00%","503 / 1009
49.85%","0 / 312
0.00%","2222 / 2246
98.93%","4 / 2348
0.17%","0 / 58
0.00%","0 / 23
0.00%","0 / 307
0.00%","1 / 619
0.16%","0 / 5
0.00%","0 / 2586
0.00%","1194 / 1201
99.42%","2 / 3
66.67%","11240 / 11291
99.55%","1185 / 2184
54.26%","0 / 90
0.00%","0 / 2225
0.00%","0 / 0
NA","0 / 2
0.00%","0 / 1444
0.00%","0 / 1201
0.00%","0 / 0
NA","0 / 7558
0.00%","0 / 1
0.00%","0 / 22
0.00%","0 / 0
NA","0 / 694
0.00%","6 / 3426
0.18%","2 / 2256
0.09%","0 / 3013
0.00%","0 / 68
0.00%","1 / 10
10.00%","2 / 2
100.00%","1 / 1
100.00%"
SRR20997582.fastq.bam,"29 / 11769
0.25%","0 / 57
0.00%","0 / 11767
0.00%","0 / 0
NA","0 / 1
0.00%","0 / 1742
0.00%","2 / 9281
0.02%","3 / 2830
0.11%","12944 / 13046
99.22%","3 / 619
0.48%","255 / 259
98.46%","6213 / 6401
97.06%","0 / 45
0.00%","0 / 72
0.00%","1012 / 4498
22.50%","0 / 16
0.00%","38 / 40
95.00%","0 / 0
NA","13792 / 13822
99.78%","0 / 0
NA","3 / 3
100.00%","0 / 11767
0.00%","0 / 0
NA","1 / 2725
0.04%","3 / 1742
0.17%","2822 / 2830
99.72%","0 / 119
0.00%","637 / 2163
29.45%","0 / 811
0.00%","1740 / 1775
98.03%","14 / 6067
0.23%","0 / 1
0.00%","0 / 29
0.00%","0 / 529
0.00%","1 / 570
0.18%","0 / 60
0.00%","0 / 6453
0.00%","2727 / 2738
99.60%","52 / 60
86.67%","19086 / 19183
99.49%","1708 / 1717
99.48%","0 / 261
0.00%","1 / 1744
0.06%","0 / 0
NA","0 / 3
0.00%","0 / 4477
0.00%","3 / 2738
0.11%","0 / 0
NA","0 / 11020
0.00%","0 / 1
0.00%","0 / 28
0.00%","0 / 0
NA","0 / 2993
0.00%","1 / 4478
0.02%","3 / 1784
0.17%","3 / 2830
0.11%","0 / 72
0.00%","4 / 20
20.00%","0 / 0
NA","1268 / 2730
46.45%"
SRR20997583.fastq.bam,"54 / 1759
3.07%","0 / 18
0.00%","0 / 1759
0.00%","0 / 0
NA","2 / 1884
0.11%","0 / 1919
0.00%","1 / 1930
0.05%","1 / 1118
0.09%","19325 / 19447
99.37%","0 / 30
0.00%","281 / 283
99.29%","3469 / 3568
97.23%","0 / 879
0.00%","0 / 30
0.00%","776 / 2478
31.32%","0 / 18
0.00%","15 / 15
100.00%","0 / 0
NA","10902 / 10931
99.73%","0 / 0
NA","0 / 0
NA","0 / 1759
0.00%","0 / 0
NA","0 / 1012
0.00%","291 / 1919
15.16%","1107 / 1118
99.02%","0 / 134
0.00%","689 / 1164
59.19%","0 / 465
0.00%","1918 / 1945
98.61%","5 / 3021
0.17%","0 / 29
0.00%","0 / 4
0.00%","0 / 322
0.00%","1 / 492
0.20%","0 / 18
0.00%","0 / 2162
0.00%","1013 / 1017
99.61%","13 / 18
72.22%","22412 / 22501
99.60%","1591 / 1887
84.31%","0 / 159
0.00%","0 / 1920
0.00%","0 / 0
NA","0 / 0
NA","0 / 592
0.00%","0 / 1017
0.00%","0 / 0
NA","0 / 6087
0.00%","2172 / 2935
74.00%","0 / 3
0.00%","0 / 0
NA","0 / 1863
0.00%","3 / 2934
0.10%","3 / 1953
0.15%","1 / 1118
0.09%","0 / 30
0.00%","4 / 21
19.05%","0 / 0
NA","359 / 1016
35.33%"
SRR20997584.fastq.bam,"5 / 5306
0.09%","0 / 137
0.00%","0 / 5305
0.00%","0 / 1
0.00%","1 / 3362
0.03%","0 / 3423
0.00%","3 / 10192
0.03%","0 / 4296
0.00%","12854 / 12918
99.50%","2 / 74
2.70%","271 / 276
98.19%","8625 / 8826
97.72%","0 / 572
0.00%","0 / 56
0.00%","823 / 4852
16.96%","0 / 34
0.00%","15 / 15
100.00%","0 / 0
NA","12452 / 12470
99.86%","0 / 0
NA","1 / 1
100.00%","0 / 5305
0.00%","1 / 1
100.00%","0 / 1
0.00%","549 / 3423
16.04%","4286 / 4296
99.77%","0 / 77
0.00%","906 / 1557
58.19%","0 / 706
0.00%","3420 / 3461
98.82%","3 / 3308
0.09%","0 / 76
0.00%","0 / 4
0.00%","0 / 253
0.00%","1 / 435
0.23%","0 / 139
0.00%","0 / 1535
0.00%","1416 / 1438
98.47%","136 / 138
98.55%","16220 / 16270
99.69%","2834 / 3363
84.27%","0 / 170
0.00%","1 / 3425
0.03%","0 / 0
NA","0 / 1
0.00%","0 / 2011
0.00%","0 / 1438
0.00%","0 / 0
NA","0 / 8465
0.00%","3681 / 4867
75.63%","0 / 4
0.00%","0 / 0
NA","0 / 1311
0.00%","3 / 4860
0.06%","2 / 3488
0.06%","0 / 4296
0.00%","0 / 56
0.00%","4 / 38
10.53%","1 / 1
100.00%","1 / 1
100.00%"
SRR20997585.fastq.bam,"4 / 3410
0.12%","0 / 28
0.00%","0 / 3407
0.00%","0 / 0
NA","1 / 2335
0.04%","0 / 2437
0.00%","1 / 9341
0.01%","0 / 593
0.00%","10864 / 11038
98.42%","3 / 102
2.94%","232 / 233
99.57%","4976 / 5237
95.02%","0 / 730
0.00%","619 / 622
99.52%","6 / 2795
0.21%","0 / 42
0.00%","19 / 20
95.00%","0 / 2
0.00%","13654 / 13687
99.76%","0 / 0
NA","6 / 6
100.00%","0 / 3407
0.00%","0 / 0
NA","1 / 844
0.12%","2 / 2437
0.08%","588 / 593
99.16%","0 / 49
0.00%","0 / 1
0.00%","0 / 743
0.00%","2435 / 2469
98.62%","11 / 4290
0.26%","0 / 105
0.00%","0 / 13
0.00%","0 / 149
0.00%","0 / 606
0.00%","0 / 34
0.00%","0 / 3427
0.00%","846 / 859
98.49%","28 / 34
82.35%","15246 / 15404
98.97%","2334 / 2346
99.49%","0 / 119
0.00%","0 / 2437
0.00%","0 / 0
NA","0 / 6
0.00%","0 / 1278
0.00%","2 / 859
0.23%","0 / 1
0.00%","0 / 8666
0.00%","2944 / 3290
89.48%","0 / 10
0.00%","0 / 0
NA","0 / 888
0.00%","3 / 3283
0.09%","2 / 2481
0.08%","0 / 593
0.00%","0 / 2
0.00%","0 / 42
0.00%","0 / 0
NA","383 / 856
44.74%"
SRR20997586.fastq.bam,"16 / 7649
0.21%","0 / 86
0.00%","0 / 7649
0.00%","0 / 0
NA","1 / 2251
0.04%","0 / 2331
0.00%","1 / 6113
0.02%","0 / 1512
0.00%","14896 / 15054
98.95%","2 / 21
9.52%","265 / 268
98.88%","8104 / 8304
97.59%","0 / 456
0.00%","0 / 60
0.00%","127 / 3131
4.06%","0 / 11
0.00%","33 / 35
94.29%","0 / 0
NA","12841 / 12878
99.71%","0 / 0
NA","1 / 1
100.00%","0 / 7649
0.00%","0 / 0
NA","0 / 1
0.00%","375 / 2331
16.09%","1504 / 1512
99.47%","0 / 134
0.00%","824 / 1292
63.78%","0 / 434
0.00%","2330 / 2353
99.02%","19 / 6368
0.30%","0 / 25
0.00%","0 / 48
0.00%","0 / 349
0.00%","2 / 737
0.27%","0 / 87
0.00%","0 / 4012
0.00%","2672 / 2685
99.52%","72 / 87
82.76%","21374 / 21500
99.41%","1893 / 2251
84.10%","0 / 231
0.00%","1 / 2331
0.04%","0 / 0
NA","0 / 1
0.00%","0 / 3777
0.00%","1 / 2685
0.04%","0 / 0
NA","0 / 7909
0.00%","3526 / 5016
70.30%","0 / 47
0.00%","0 / 0
NA","0 / 1630
0.00%","3 / 5018
0.06%","2 / 2366
0.08%","0 / 1512
0.00%","0 / 60
0.00%","8 / 19
42.11%","0 / 0
NA","1 / 1
100.00%"
SRR21095537.fastq.bam,"8 / 2217
0.36%","0 / 580
0.00%","0 / 2211
0.00%","0 / 348
0.00%","1 / 945
0.11%","0 / 20393
0.00%","3 / 2711
0.11%","2 / 1736
0.12%","3991 / 4040
98.79%","654 / 1432
45.67%","158 / 159
99.37%","2372 / 2544
93.24%","0 / 259
0.00%","0 / 18
0.00%","0 / 990
0.00%","0 / 11
0.00%","16 / 16
100.00%","0 / 0
NA","9328 / 9409
99.14%","0 / 0
NA","2 / 3
66.67%","0 / 2211
0.00%","348 / 348
100.00%","4 / 816
0.49%","61 / 21515
0.28%","1734 / 1736
99.88%","0 / 67
0.00%","343 / 611
56.14%","0 / 422
0.00%","21628 / 21745
99.46%","3 / 2813
0.11%","10 / 1426
0.70%","0 / 1553
0.00%","0 / 329
0.00%","0 / 262
0.00%","0 / 1
0.00%","0 / 1303
0.00%","818 / 823
99.39%","575 / 581
98.97%","6859 / 6905
99.33%","930 / 945
98.41%","0 / 83
0.00%","25 / 21564
0.12%","0 / 0
NA","0 / 3
0.00%","0 / 837
0.00%","4 / 823
0.49%","0 / 0
NA","0 / 2632
0.00%","1562 / 1896
82.38%","0 / 1544
0.00%","0 / 0
NA","0 / 1856
0.00%","6 / 1896
0.32%","0 / 20615
0.00%","2 / 1736
0.12%","0 / 18
0.00%","2 / 13
15.38%","357 / 357
100.00%","351 / 820
42.80%"
SRR21095538.fastq.bam,"6 / 2739
0.22%","0 / 372
0.00%","0 / 2737
0.00%","0 / 155
0.00%","1 / 1430
0.07%","0 / 8336
0.00%","2 / 2723
0.07%","0 / 1128
0.00%","4830 / 4880
98.98%","746 / 1832
40.72%","70 / 72
97.22%","1151 / 1213
94.89%","0 / 160
0.00%","0 / 12
0.00%","2 / 1132
0.18%","0 / 47
0.00%","5 / 5
100.00%","0 / 0
NA","6654 / 6661
99.89%","0 / 0
NA","2 / 3
66.67%","0 / 2737
0.00%","149 / 155
96.13%","0 / 717
0.00%","14 / 9937
0.14%","1124 / 1128
99.65%","0 / 35
0.00%","249 / 440
56.59%","0 / 162
0.00%","9929 / 9976
99.53%","0 / 2362
0.00%","0 / 1
0.00%","0 / 490
0.00%","0 / 91
0.00%","0 / 125
0.00%","0 / 1
0.00%","1 / 1226
0.08%","722 / 726
99.45%","372 / 374
99.47%","7216 / 7263
99.35%","1421 / 1430
99.37%","0 / 27
0.00%","7 / 9944
0.07%","0 / 0
NA","0 / 3
0.00%","0 / 976
0.00%","0 / 726
0.00%","0 / 0
NA","0 / 1051
0.00%","2000 / 2306
86.73%","0 / 489
0.00%","0 / 0
NA","0 / 1160
0.00%","6 / 2305
0.26%","0 / 8363
0.00%","0 / 1128
0.00%","0 / 12
0.00%","0 / 47
0.00%","155 / 157
98.73%","274 / 722
37.95%"
